feature_name,feature_category,dtype,description,missing_percentage,used_for_training,reason_if_excluded
temperature_lag_3h,lag,float64,Temperature lag 3h,0.00849762066621346,True,
temperature_lag_6h,lag,float64,Temperature lag 6h,0.01699524133242692,True,
temperature_lag_12h,lag,float64,Temperature lag 12h,0.03399048266485384,True,
temperature_lag_24h,lag,float64,Temperature lag 24h,0.06798096532970768,True,
humidity_lag_1h,lag,float64,Humidity lag 1h,0.0028325402220711533,True,
humidity_lag_3h,lag,float64,Humidity lag 3h,0.00849762066621346,True,
humidity_lag_6h,lag,float64,Humidity lag 6h,0.01699524133242692,True,
humidity_lag_12h,lag,float64,Humidity lag 12h,0.03399048266485384,True,
humidity_lag_24h,lag,float64,Humidity lag 24h,0.06798096532970768,True,
pressure_lag_1h,lag,float64,Pressure lag 1h,0.0028325402220711533,True,
pressure_lag_3h,lag,float64,Pressure lag 3h,0.00849762066621346,True,
pressure_lag_6h,lag,float64,Pressure lag 6h,0.01699524133242692,True,
pressure_lag_12h,lag,float64,Pressure lag 12h,0.03399048266485384,True,
pressure_lag_24h,lag,float64,Pressure lag 24h,0.06798096532970768,True,
wind_lag_1h,lag,float64,Wind lag 1h,0.0028325402220711533,True,
wind_lag_3h,lag,float64,Wind lag 3h,0.00849762066621346,True,
wind_lag_6h,lag,float64,Wind lag 6h,0.01699524133242692,True,
wind_lag_12h,lag,float64,Wind lag 12h,0.03399048266485384,True,
wind_lag_24h,lag,float64,Wind lag 24h,0.06798096532970768,True,
precipitation_lag_1h,lag,float64,Precipitation lag 1h,0.0028325402220711533,True,
precipitation_lag_3h,lag,float64,Precipitation lag 3h,0.00849762066621346,True,
precipitation_lag_6h,lag,float64,Precipitation lag 6h,0.01699524133242692,True,
precipitation_lag_12h,lag,float64,Precipitation lag 12h,0.03399048266485384,True,
precipitation_lag_24h,lag,float64,Precipitation lag 24h,0.06798096532970768,True,
dew_point_lag_1h,lag,float64,Dew point lag 1h,0.0028325402220711533,True,
dew_point_lag_3h,lag,float64,Dew point lag 3h,0.00849762066621346,True,
dew_point_lag_6h,lag,float64,Dew point lag 6h,0.01699524133242692,True,
dew_point_lag_12h,lag,float64,Dew point lag 12h,0.03399048266485384,True,
dew_point_lag_24h,lag,float64,Dew point lag 24h,0.06798096532970768,True,
aqi_rolling_mean_3h,rolling,float64,Aqi rolling mean 3h,0.2757005816149256,True,
aqi_rolling_min_3h,rolling,float64,Aqi rolling min 3h,0.2757005816149256,True,
aqi_rolling_max_3h,rolling,float64,Aqi rolling max 3h,0.2757005816149256,True,
aqi_rolling_std_3h,rolling,float64,Aqi rolling std 3h,0.2804214819850442,True,
aqi_rolling_mean_6h,rolling,float64,Aqi rolling mean 6h,0.2728680413928544,True,
aqi_rolling_min_6h,rolling,float64,Aqi rolling min 6h,0.2728680413928544,True,
aqi_rolling_max_6h,rolling,float64,Aqi rolling max 6h,0.2728680413928544,True,
aqi_rolling_std_6h,rolling,float64,Aqi rolling std 6h,0.27758894176297305,True,
aqi_rolling_mean_12h,rolling,float64,Aqi rolling mean 12h,0.27192386131883073,True,
aqi_rolling_min_12h,rolling,float64,Aqi rolling min 12h,0.27192386131883073,True,
aqi_rolling_max_12h,rolling,float64,Aqi rolling max 12h,0.27192386131883073,True,
aqi_rolling_std_12h,rolling,float64,Aqi rolling std 12h,0.27475640154090186,True,
aqi_rolling_mean_24h,rolling,float64,Aqi rolling mean 24h,0.27192386131883073,True,
aqi_rolling_min_24h,rolling,float64,Aqi rolling min 24h,0.27192386131883073,True,
aqi_rolling_max_24h,rolling,float64,Aqi rolling max 24h,0.27192386131883073,True,
aqi_rolling_std_24h,rolling,float64,Aqi rolling std 24h,0.27475640154090186,True,
aqi_rolling_mean_48h,rolling,float64,Aqi rolling mean 48h,0.27192386131883073,True,
aqi_rolling_min_48h,rolling,float64,Aqi rolling min 48h,0.27192386131883073,True,
aqi_rolling_max_48h,rolling,float64,Aqi rolling max 48h,0.27192386131883073,True,
aqi_rolling_std_48h,rolling,float64,Aqi rolling std 48h,0.27475640154090186,True,
aqi_rolling_mean_72h,rolling,float64,Aqi rolling mean 72h,0.27192386131883073,True,
aqi_rolling_min_72h,rolling,float64,Aqi rolling min 72h,0.27192386131883073,True,
aqi_rolling_max_72h,rolling,float64,Aqi rolling max 72h,0.27192386131883073,True,
aqi_rolling_std_72h,rolling,float64,Aqi rolling std 72h,0.27475640154090186,True,
aqi_rolling_mean_168h,rolling,float64,Aqi rolling mean 168h,0.27192386131883073,True,
aqi_rolling_min_168h,rolling,float64,Aqi rolling min 168h,0.27192386131883073,True,
aqi_rolling_max_168h,rolling,float64,Aqi rolling max 168h,0.27192386131883073,True,
aqi_rolling_std_168h,rolling,float64,Aqi rolling std 168h,0.27475640154090186,True,
pm25_rolling_mean_3h,rolling,float64,Pm25 rolling mean 3h,0.20394289598912305,True,
pm25_rolling_min_3h,rolling,float64,Pm25 rolling min 3h,0.20394289598912305,True,
pm25_rolling_max_3h,rolling,float64,Pm25 rolling max 3h,0.20394289598912305,True,
pm25_rolling_std_3h,rolling,float64,Pm25 rolling std 3h,0.2067754362111942,True,
pm25_rolling_mean_6h,rolling,float64,Pm25 rolling mean 6h,0.20394289598912305,True,
pm25_rolling_min_6h,rolling,float64,Pm25 rolling min 6h,0.20394289598912305,True,
pm25_rolling_max_6h,rolling,float64,Pm25 rolling max 6h,0.20394289598912305,True,
pm25_rolling_std_6h,rolling,float64,Pm25 rolling std 6h,0.2067754362111942,True,
pm25_rolling_mean_12h,rolling,float64,Pm25 rolling mean 12h,0.20394289598912305,True,
pm25_rolling_min_12h,rolling,float64,Pm25 rolling min 12h,0.20394289598912305,True,
pm25_rolling_max_12h,rolling,float64,Pm25 rolling max 12h,0.20394289598912305,True,
pm25_rolling_std_12h,rolling,float64,Pm25 rolling std 12h,0.2067754362111942,True,
pm25_rolling_mean_24h,rolling,float64,Pm25 rolling mean 24h,0.20394289598912305,True,
pm25_rolling_min_24h,rolling,float64,Pm25 rolling min 24h,0.20394289598912305,True,
pm25_rolling_max_24h,rolling,float64,Pm25 rolling max 24h,0.20394289598912305,True,
pm25_rolling_std_24h,rolling,float64,Pm25 rolling std 24h,0.2067754362111942,True,
pm25_rolling_mean_48h,rolling,float64,Pm25 rolling mean 48h,0.20394289598912305,True,
pm25_rolling_min_48h,rolling,float64,Pm25 rolling min 48h,0.20394289598912305,True,
pm25_rolling_max_48h,rolling,float64,Pm25 rolling max 48h,0.20394289598912305,True,
pm25_rolling_std_48h,rolling,float64,Pm25 rolling std 48h,0.2067754362111942,True,
pm25_rolling_mean_72h,rolling,float64,Pm25 rolling mean 72h,0.20394289598912305,True,
pm25_rolling_min_72h,rolling,float64,Pm25 rolling min 72h,0.20394289598912305,True,
pm25_rolling_max_72h,rolling,float64,Pm25 rolling max 72h,0.20394289598912305,True,
pm25_rolling_std_72h,rolling,float64,Pm25 rolling std 72h,0.2067754362111942,True,
pm25_rolling_mean_168h,rolling,float64,Pm25 rolling mean 168h,0.20394289598912305,True,
pm25_rolling_min_168h,rolling,float64,Pm25 rolling min 168h,0.20394289598912305,True,
pm25_rolling_max_168h,rolling,float64,Pm25 rolling max 168h,0.20394289598912305,True,
pm25_rolling_std_168h,rolling,float64,Pm25 rolling std 168h,0.2067754362111942,True,
pm10_rolling_mean_3h,rolling,float64,Pm10 rolling mean 3h,0.20394289598912305,True,
pm10_rolling_min_3h,rolling,float64,Pm10 rolling min 3h,0.20394289598912305,True,
pm10_rolling_max_3h,rolling,float64,Pm10 rolling max 3h,0.20394289598912305,True,
pm10_rolling_std_3h,rolling,float64,Pm10 rolling std 3h,0.2067754362111942,True,
pm10_rolling_mean_6h,rolling,float64,Pm10 rolling mean 6h,0.20394289598912305,True,
pm10_rolling_min_6h,rolling,float64,Pm10 rolling min 6h,0.20394289598912305,True,
pm10_rolling_max_6h,rolling,float64,Pm10 rolling max 6h,0.20394289598912305,True,
pm10_rolling_std_6h,rolling,float64,Pm10 rolling std 6h,0.2067754362111942,True,
pm10_rolling_mean_12h,rolling,float64,Pm10 rolling mean 12h,0.20394289598912305,True,
pm10_rolling_min_12h,rolling,float64,Pm10 rolling min 12h,0.20394289598912305,True,
pm10_rolling_max_12h,rolling,float64,Pm10 rolling max 12h,0.20394289598912305,True,
pm10_rolling_std_12h,rolling,float64,Pm10 rolling std 12h,0.2067754362111942,True,
pm10_rolling_mean_24h,rolling,float64,Pm10 rolling mean 24h,0.20394289598912305,True,
pm10_rolling_min_24h,rolling,float64,Pm10 rolling min 24h,0.20394289598912305,True,
pm10_rolling_max_24h,rolling,float64,Pm10 rolling max 24h,0.20394289598912305,True,
pm10_rolling_std_24h,rolling,float64,Pm10 rolling std 24h,0.2067754362111942,True,
pm10_rolling_mean_48h,rolling,float64,Pm10 rolling mean 48h,0.20394289598912305,True,
pm10_rolling_min_48h,rolling,float64,Pm10 rolling min 48h,0.20394289598912305,True,
pm10_rolling_max_48h,rolling,float64,Pm10 rolling max 48h,0.20394289598912305,True,
pm10_rolling_std_48h,rolling,float64,Pm10 rolling std 48h,0.2067754362111942,True,
pm10_rolling_mean_72h,rolling,float64,Pm10 rolling mean 72h,0.20394289598912305,True,
pm10_rolling_min_72h,rolling,float64,Pm10 rolling min 72h,0.20394289598912305,True,
pm10_rolling_max_72h,rolling,float64,Pm10 rolling max 72h,0.20394289598912305,True,
pm10_rolling_std_72h,rolling,float64,Pm10 rolling std 72h,0.2067754362111942,True,
pm10_rolling_mean_168h,rolling,float64,Pm10 rolling mean 168h,0.20394289598912305,True,
pm10_rolling_min_168h,rolling,float64,Pm10 rolling min 168h,0.20394289598912305,True,
pm10_rolling_max_168h,rolling,float64,Pm10 rolling max 168h,0.20394289598912305,True,
pm10_rolling_std_168h,rolling,float64,Pm10 rolling std 168h,0.2067754362111942,True,
temperature_rolling_mean_3h,rolling,float64,Temperature rolling mean 3h,0.0,True,
temperature_rolling_min_3h,rolling,float64,Temperature rolling min 3h,0.0,True,
temperature_rolling_max_3h,rolling,float64,Temperature rolling max 3h,0.0,True,
temperature_rolling_std_3h,rolling,float64,Temperature rolling std 3h,0.0028325402220711533,True,
temperature_rolling_mean_6h,rolling,float64,Temperature rolling mean 6h,0.0,True,
temperature_rolling_min_6h,rolling,float64,Temperature rolling min 6h,0.0,True,
temperature_rolling_max_6h,rolling,float64,Temperature rolling max 6h,0.0,True,
temperature_rolling_std_6h,rolling,float64,Temperature rolling std 6h,0.0028325402220711533,True,
temperature_rolling_mean_12h,rolling,float64,Temperature rolling mean 12h,0.0,True,
temperature_rolling_min_12h,rolling,float64,Temperature rolling min 12h,0.0,True,
temperature_rolling_max_12h,rolling,float64,Temperature rolling max 12h,0.0,True,
temperature_rolling_std_12h,rolling,float64,Temperature rolling std 12h,0.0028325402220711533,True,
temperature_rolling_mean_24h,rolling,float64,Temperature rolling mean 24h,0.0,True,
temperature_rolling_min_24h,rolling,float64,Temperature rolling min 24h,0.0,True,
temperature_rolling_max_24h,rolling,float64,Temperature rolling max 24h,0.0,True,
temperature_rolling_std_24h,rolling,float64,Temperature rolling std 24h,0.0028325402220711533,True,
temperature_rolling_mean_48h,rolling,float64,Temperature rolling mean 48h,0.0,True,
temperature_rolling_min_48h,rolling,float64,Temperature rolling min 48h,0.0,True,
temperature_rolling_max_48h,rolling,float64,Temperature rolling max 48h,0.0,True,
temperature_rolling_std_48h,rolling,float64,Temperature rolling std 48h,0.0028325402220711533,True,
temperature_rolling_mean_72h,rolling,float64,Temperature rolling mean 72h,0.0,True,
temperature_rolling_min_72h,rolling,float64,Temperature rolling min 72h,0.0,True,
temperature_rolling_max_72h,rolling,float64,Temperature rolling max 72h,0.0,True,
temperature_rolling_std_72h,rolling,float64,Temperature rolling std 72h,0.0028325402220711533,True,
temperature_rolling_mean_168h,rolling,float64,Temperature rolling mean 168h,0.0,True,
temperature_rolling_min_168h,rolling,float64,Temperature rolling min 168h,0.0,True,
temperature_rolling_max_168h,rolling,float64,Temperature rolling max 168h,0.0,True,
temperature_rolling_std_168h,rolling,float64,Temperature rolling std 168h,0.0028325402220711533,True,
humidity_rolling_mean_3h,rolling,float64,Humidity rolling mean 3h,0.0,True,
humidity_rolling_min_3h,rolling,float64,Humidity rolling min 3h,0.0,True,
humidity_rolling_max_3h,rolling,float64,Humidity rolling max 3h,0.0,True,
humidity_rolling_std_3h,rolling,float64,Humidity rolling std 3h,0.0028325402220711533,True,
humidity_rolling_mean_6h,rolling,float64,Humidity rolling mean 6h,0.0,True,
humidity_rolling_min_6h,rolling,float64,Humidity rolling min 6h,0.0,True,
humidity_rolling_max_6h,rolling,float64,Humidity rolling max 6h,0.0,True,
humidity_rolling_std_6h,rolling,float64,Humidity rolling std 6h,0.0028325402220711533,True,
humidity_rolling_mean_12h,rolling,float64,Humidity rolling mean 12h,0.0,True,
humidity_rolling_min_12h,rolling,float64,Humidity rolling min 12h,0.0,True,
humidity_rolling_max_12h,rolling,float64,Humidity rolling max 12h,0.0,True,
humidity_rolling_std_12h,rolling,float64,Humidity rolling std 12h,0.0028325402220711533,True,
humidity_rolling_mean_24h,rolling,float64,Humidity rolling mean 24h,0.0,True,
humidity_rolling_min_24h,rolling,float64,Humidity rolling min 24h,0.0,True,
humidity_rolling_max_24h,rolling,float64,Humidity rolling max 24h,0.0,True,
humidity_rolling_std_24h,rolling,float64,Humidity rolling std 24h,0.0028325402220711533,True,
humidity_rolling_mean_48h,rolling,float64,Humidity rolling mean 48h,0.0,True,
humidity_rolling_min_48h,rolling,float64,Humidity rolling min 48h,0.0,True,
humidity_rolling_max_48h,rolling,float64,Humidity rolling max 48h,0.0,True,
humidity_rolling_std_48h,rolling,float64,Humidity rolling std 48h,0.0028325402220711533,True,
humidity_rolling_mean_72h,rolling,float64,Humidity rolling mean 72h,0.0,True,
humidity_rolling_min_72h,rolling,float64,Humidity rolling min 72h,0.0,True,
humidity_rolling_max_72h,rolling,float64,Humidity rolling max 72h,0.0,True,
humidity_rolling_std_72h,rolling,float64,Humidity rolling std 72h,0.0028325402220711533,True,
humidity_rolling_mean_168h,rolling,float64,Humidity rolling mean 168h,0.0,True,
humidity_rolling_min_168h,rolling,float64,Humidity rolling min 168h,0.0,True,
humidity_rolling_max_168h,rolling,float64,Humidity rolling max 168h,0.0,True,
humidity_rolling_std_168h,rolling,float64,Humidity rolling std 168h,0.0028325402220711533,True,
wind_rolling_mean_3h,rolling,float64,Wind rolling mean 3h,0.0,True,
wind_rolling_min_3h,rolling,float64,Wind rolling min 3h,0.0,True,
wind_rolling_max_3h,rolling,float64,Wind rolling max 3h,0.0,True,
wind_rolling_std_3h,rolling,float64,Wind rolling std 3h,0.0028325402220711533,True,
wind_rolling_mean_6h,rolling,float64,Wind rolling mean 6h,0.0,True,
wind_rolling_min_6h,rolling,float64,Wind rolling min 6h,0.0,True,
wind_rolling_max_6h,rolling,float64,Wind rolling max 6h,0.0,True,
wind_rolling_std_6h,rolling,float64,Wind rolling std 6h,0.0028325402220711533,True,
wind_rolling_mean_12h,rolling,float64,Wind rolling mean 12h,0.0,True,
wind_rolling_min_12h,rolling,float64,Wind rolling min 12h,0.0,True,
wind_rolling_max_12h,rolling,float64,Wind rolling max 12h,0.0,True,
wind_rolling_std_12h,rolling,float64,Wind rolling std 12h,0.0028325402220711533,True,
wind_rolling_mean_24h,rolling,float64,Wind rolling mean 24h,0.0,True,
wind_rolling_min_24h,rolling,float64,Wind rolling min 24h,0.0,True,
wind_rolling_max_24h,rolling,float64,Wind rolling max 24h,0.0,True,
wind_rolling_std_24h,rolling,float64,Wind rolling std 24h,0.0028325402220711533,True,
wind_rolling_mean_48h,rolling,float64,Wind rolling mean 48h,0.0,True,
wind_rolling_min_48h,rolling,float64,Wind rolling min 48h,0.0,True,
wind_rolling_max_48h,rolling,float64,Wind rolling max 48h,0.0,True,
wind_rolling_std_48h,rolling,float64,Wind rolling std 48h,0.0028325402220711533,True,
wind_rolling_mean_72h,rolling,float64,Wind rolling mean 72h,0.0,True,
wind_rolling_min_72h,rolling,float64,Wind rolling min 72h,0.0,True,
wind_rolling_max_72h,rolling,float64,Wind rolling max 72h,0.0,True,
wind_rolling_std_72h,rolling,float64,Wind rolling std 72h,0.0028325402220711533,True,
wind_rolling_mean_168h,rolling,float64,Wind rolling mean 168h,0.0,True,
wind_rolling_min_168h,rolling,float64,Wind rolling min 168h,0.0,True,
wind_rolling_max_168h,rolling,float64,Wind rolling max 168h,0.0,True,
wind_rolling_std_168h,rolling,float64,Wind rolling std 168h,0.0028325402220711533,True,
aqi_change_1h,change,float64,Aqi change 1h,0.2813656620590679,True,
aqi_pct_change_1h,change,float64,Aqi pct change 1h,0.2813656620590679,True,
aqi_change_3h,change,float64,Aqi change 3h,0.28891910265125764,True,
aqi_pct_change_3h,change,float64,Aqi pct change 3h,0.28891910265125764,True,
aqi_change_6h,change,float64,Aqi change 6h,0.3002492635395423,True,
aqi_pct_change_6h,change,float64,Aqi pct change 6h,0.3002492635395423,True,
aqi_change_24h,change,float64,Aqi change 24h,0.35123498753682303,True,
aqi_pct_change_24h,change,float64,Aqi pct change 24h,0.35123498753682303,True,
pm25_change_1h,change,float64,Pm25 change 1h,0.2067754362111942,True,
pm25_pct_change_1h,change,float64,Pm25 pct change 1h,0.2067754362111942,True,
pm25_change_3h,change,float64,Pm25 change 3h,0.2124405166553365,True,
pm25_pct_change_3h,change,float64,Pm25 pct change 3h,0.2124405166553365,True,
pm25_change_6h,change,float64,Pm25 change 6h,0.22093813732154996,True,
pm25_pct_change_6h,change,float64,Pm25 pct change 6h,0.22093813732154996,True,
pm25_change_24h,change,float64,Pm25 change 24h,0.27192386131883073,True,
pm25_pct_change_24h,change,float64,Pm25 pct change 24h,0.27192386131883073,True,
pm10_change_1h,change,float64,Pm10 change 1h,0.2067754362111942,True,
pm10_pct_change_1h,change,float64,Pm10 pct change 1h,0.2067754362111942,True,
pm10_change_6h,change,float64,Pm10 change 6h,0.22093813732154996,True,
pm10_pct_change_6h,change,float64,Pm10 pct change 6h,0.22093813732154996,True,
pm10_change_24h,change,float64,Pm10 change 24h,0.27192386131883073,True,
pm10_pct_change_24h,change,float64,Pm10 pct change 24h,0.27192386131883073,True,
temperature_change_1h,change,float64,Temperature change 1h,0.0028325402220711533,True,
temperature_change_6h,change,float64,Temperature change 6h,0.01699524133242692,True,
temperature_change_24h,change,float64,Temperature change 24h,0.06798096532970768,True,
humidity_change_1h,change,float64,Humidity change 1h,0.0028325402220711533,True,
humidity_change_6h,change,float64,Humidity change 6h,0.01699524133242692,True,
humidity_change_24h,change,float64,Humidity change 24h,0.06798096532970768,True,
pressure_change_3h,change,float64,Pressure change 3h,0.00849762066621346,True,
pressure_change_6h,change,float64,Pressure change 6h,0.01699524133242692,True,
pressure_change_24h,change,float64,Pressure change 24h,0.06798096532970768,True,
wind_change_1h,change,float64,Wind change 1h,0.0028325402220711533,True,
wind_change_6h,change,float64,Wind change 6h,0.01699524133242692,True,
wind_change_24h,change,float64,Wind change 24h,0.06798096532970768,True,
pm25_pm10_ratio,interaction,float64,Pm25 pm10 ratio,0.20394289598912305,True,
pm25_to_aqi_ratio,interaction,float64,Pm25 to aqi ratio,0.27758894176297305,True,
pm10_to_aqi_ratio,interaction,float64,Pm10 to aqi ratio,0.27758894176297305,True,
no2_o3_ratio,interaction,float64,No2 o3 ratio,2.344399123800891,True,
co_no2_ratio,interaction,float64,Co no2 ratio,0.418271772792507,True,
temperature_humidity_interaction,interaction,float64,Temperature humidity interaction,0.0,True,
temperature_pressure_interaction,interaction,float64,Temperature pressure interaction,0.0,True,
humidity_pressure_interaction,interaction,float64,Humidity pressure interaction,0.0,True,
wind_pm25_interaction,interaction,float64,Wind pm25 interaction,0.20394289598912305,True,
wind_pm10_interaction,interaction,float64,Wind pm10 interaction,0.20394289598912305,True,
wind_aqi_interaction,interaction,float64,Wind aqi interaction,0.27758894176297305,True,
humidity_pm25_interaction,interaction,float64,Humidity pm25 interaction,0.20394289598912305,True,
humidity_pm10_interaction,interaction,float64,Humidity pm10 interaction,0.20394289598912305,True,
temperature_pm25_interaction,interaction,float64,Temperature pm25 interaction,0.20394289598912305,True,
temperature_ozone_interaction,interaction,float64,Temperature ozone interaction,0.20394289598912305,True,
pm25_no2_interaction,interaction,float64,Pm25 no2 interaction,0.20394289598912305,True,
wind_direction_sin,wind,float64,Wind direction sin,0.0,True,
wind_direction_cos,wind,float64,Wind direction cos,0.0,True,
wind_speed_squared,wind,float64,Wind speed squared,0.0,True,
calm_wind,wind,int8,Calm wind,0.0,True,
low_wind,wind,int8,Low wind,0.0,True,
high_wind,wind,int8,High wind,0.0,True,
high_pm25,episode,int8,High pm25,0.0,True,
high_pm10,episode,int8,High pm10,0.0,True,
high_no2,episode,int8,High no2,0.0,True,
high_ozone,episode,int8,High ozone,0.0,True,
aqi_above_100,episode,int8,Aqi above 100,0.0,True,
aqi_above_150,episode,int8,Aqi above 150,0.0,True,
aqi_above_200,episode,int8,Aqi above 200,0.0,True,
consecutive_high_aqi_hours,episode,int32,Consecutive high aqi hours,0.0,True,
consecutive_high_pm25_hours,episode,int32,Consecutive high pm25 hours,0.0,True,
